,first_category,second_category,third_category,brand,price,counts,sales,days
0,图书,时尚/美妆,服饰搭配,凤凰含章,30.3,1,30.3,1
1,图书,时尚/美妆,服饰搭配,联合读创,61.2,17,1040.4,17
2,宠物生活,猫狗出行,宠物配饰,派乐特,12.9,50,645.0,50
3,家居日用,婚庆节庆,其它婚庆节庆用品,拾点渔,12.8,21,268.8,20
4,家居日用,生活日用,缝纫/针织材料,阿麦思,9.9,26,257.40000000000003,26
5,家居日用,生活日用,缝纫机,赞璐桐（ZANLUTONG）,11.0,11,121.0,11
6,服饰内衣,内衣,保暖内衣,Clarkarida,258.0,50,12900.0,49
7,服饰内衣,内衣,保暖内衣,KJ,228.0,50,11400.0,28
8,服饰内衣,内衣,保暖内衣,七匹狼（SEPTWOLVES）,178.0,50,8900.0,50
9,服饰内衣,内衣,保暖内衣,七匹狼（SEPTWOLVES）,179.0,50,8950.0,50
10,服饰内衣,内衣,保暖内衣,京东京造,119.0,50,5950.0,49
11,服饰内衣,内衣,保暖内衣,南极人,69.0,50,3450.0,50
12,服饰内衣,内衣,保暖内衣,南极人（Nanjiren）,69.9,50,3495.0000000000005,50
13,服饰内衣,内衣,保暖内衣,宜而爽,97.9,100,9790.0,100
14,服饰内衣,内衣,保暖内衣,宜而爽,43.9,50,2195.0,50
15,服饰内衣,内衣,保暖内衣,宜而爽,79.9,50,3995.0000000000005,49
16,服饰内衣,内衣,保暖内衣,猫人（MiiOW）,99.0,50,4950.0,48
17,服饰内衣,内衣,保暖内衣,红豆（hongdou）,179.0,50,8950.0,50
18,服饰内衣,内衣,保暖内衣,芬腾,69.9,50,3495.0000000000005,50
19,服饰内衣,内衣,保暖内衣,莫代尔,129.9,47,6105.3,46
20,服饰内衣,内衣,保暖内衣,金利来（GOLDLION）,229.0,53,12137.0,52
21,服饰内衣,内衣,女式内裤,南极人（Nanjiren）,39.9,50,1995.0,50
22,服饰内衣,内衣,女式内裤,维彩菲（WEICAIFEI）,19.9,50,994.9999999999999,49
23,服饰内衣,内衣,文胸,Anne Angels,520.0,50,26000.0,50
24,服饰内衣,内衣,文胸,Carey Kay,138.0,50,6900.0,50
25,服饰内衣,内衣,文胸,Carey Kay,158.0,50,7900.0,50
26,服饰内衣,内衣,文胸,FitonTon,49.9,50,2495.0,50
27,服饰内衣,内衣,文胸,FitonTon,59.0,50,2950.0,50
28,服饰内衣,内衣,文胸,FitonTon,39.0,17,663.0,17
29,服饰内衣,内衣,文胸,FitonTon,64.9,9,584.1,9
30,服饰内衣,内衣,文胸,FitonTon,79.9,9,719.1,9
31,服饰内衣,内衣,文胸,FitonTon,39.9,7,279.3,7
32,服饰内衣,内衣,文胸,FitonTon,104.9,6,629.4000000000001,6
33,服饰内衣,内衣,文胸,KJ,151.0,53,8003.0,53
34,服饰内衣,内衣,文胸,KJ,158.0,6,948.0,6
